material_id;material_name;image_url;item_url;unit;unit_price;expenditure;weight
m.1;*11301011005 REHAU RAUTITAN stabil труба универсальная 32х4.7 мм, прямые отрезки 5 м из сшитого полиэтилена;https://lk.teremopt.ru/upload/resize_cache/iblock/182/1000_750_1/RQLAGK0GBUR4GG.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12202;шт.;7 153,50;;
m.2;*11600131001 REHAU RAUTITAN Муфта соединительная равнопроходная 25-25 PX для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/2ca/1000_750_1/RQLAGK0L3H3JK6.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12377;шт.;1 189,40;;
m.3;*11600331001 REHAU RAUTITAN Тройник равнопроходной 25-25-25 PX для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/438/1000_750_1/RQLAGK0L3H3JJ4.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12343;шт.;1 295,80;;
m.4;*11600351001 REHAU RAUTITAN Тройник равнопроходной 40-40-40 PX для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/cd2/1000_750_1/RQLAGK0L3H3JJ6.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12345;шт.;5 152,80;;
m.5;*11600421001 REHAU RAUTITAN Муфта соединительная переходная 25-16 PX для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/340/1000_750_1/RQLAGK0L3H3JKA.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12381;шт.;1 249,25;;
m.6;*11600431001 REHAU RAUTITAN Муфта соединительная переходная 25-20 PX для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/600/1000_750_1/RQLAGK0L3H3JKB.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12382;шт.;1 249,25;;
m.7;*11600441001 REHAU RAUTITAN Муфта соединительная переходная 32-25 PX для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/iblock/47b/RQLAGK0L3H3JKC.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12383;шт.;1 904,75;;
m.8;*11600471001 REHAU RAUTITAN Муфта соединительная переходная 40-32 PX для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/6a6/1000_750_1/RQLAGK0L3H3JKD.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12384;шт.;3 230,95;;
m.9;*11600651001 REHAU RAUTITAN Тройник с уменьшенным боковым проходом 32-20-32 PX для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/89e/1000_750_1/RQLAGK0L3H3JJB.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12350;шт.;2 628,65;;
m.10;*11600721001 REHAU RAUTITAN Тройник с уменьшенным торцевым проходом 25-25-16 PX для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/d88/1000_750_1/RQLAGK0L3H3JJH.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12356;шт.;1 295,80;;
m.11;*11600831001 REHAU RAUTITAN Тройник с уменьшенным боковым и торцевым проходом 25-16-20 PX для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/f71/1000_750_1/RQLAGK0L3H3JJN.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12362;шт.;1 147,60;;
m.12;*11600841001 REHAU RAUTITAN Тройник с уменьшенным боковым и торцевым проходом 25-20-16 PX для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/iblock/d9d/RQLAGK0L3H3JJO.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12363;шт.;1 147,60;;
m.13;*11600851001 REHAU RAUTITAN Тройник с уменьшенным боковым и торцевым проходом 25-20-20 PX для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/ed8/1000_750_1/RQLAGK0L3H3JJP.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12364;шт.;1 147,60;;
m.14;Диск пильный универсальный для УШМ Ritter 125х22,2х1,2 мм 8 зубьев (PS30101250);;https://moscow.petrovich.ru/product/984454/;шт.;954,00;0,02;
m.15;Сверло по дереву перьевое КМ 18х152 мм (966062);;https://moscow.petrovich.ru/product/966062/;шт.;93,00;0,02;
m.16;Сверло по дереву перьевое КМ 12х152 мм (966061);;https://moscow.petrovich.ru/product/966061/;шт.;81,00;0,02;
m.17;Сверло по металлу спиральное КМ 5х86 мм (966053);;https://moscow.petrovich.ru/product/966053/;шт.;111,00;0,02;
m.18;Сверло по металлу спиральное Практика 5х86 мм кобальтовое (033-499);;https://moscow.petrovich.ru/product/140254/;шт.;259,00;0,02;
m.19;Сверло по металлу спиральное Rage by Vira 10х133 мм (554020);;https://moscow.petrovich.ru/product/1041699/;шт.;370,00;0,02;
m.20;Мешок для мусора 75 л 550х1050 мм полипропиленовый белый;;https://moscow.petrovich.ru/product/104800/;шт.;16,00;0,002;
m.21;*11691761001(11096111001) REHAU RAUTITAN Переходник на евроконус 20-G 3/4 для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/iblock/9c7/RG008T5KLMMB3E.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=11392106;шт.;1 292,00;;
m.22;*12017981001 REHAU RAUTOOL Комплект запрессовочн. тисков М1 40 (цвет: черный);https://lk.teremopt.ru/upload/iblock/952/RG008O0GK5GK19.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=13139;шт.;18 910,70;;
