work_id;m.aterial_id;consumption_per_work_unit;waste_coeff
w.1;m.1001;1;1.0
w.1;m.682;1;1.0
w.1;m.1025;1;1.0
w.2;m.1001;1;1.0
w.2;m.495;1;1.0
w.2;m.1025;1;1.0
w.2;m.682;1;1.0
w.3;m.1001;1;1.0
w.3;m.495;1;1.0
w.3;m.1025;1;1.0
w.3;m.681;1;1.0
w.4;m.1025;1;1.0
w.4;m.681;1;1.0
w.5;m.681;1;1.0
w.5;m.1025;1;1.0
w.5;m.382;1;1.0
w.6;m.681;1;1.0
w.7;m.681;1;1.0
w.8;m.681;1;1.0
w.9;m.681;1;1.0
w.10;m.681;1;1.0
w.11;m.681;1;1.0
w.11;m.635;1;1.0
w.13;m.681;1;1.0
w.14;m.681;1;1.0
w.14;m.495;1;1.0
w.15;m.681;1;1.0
w.15;m.495;1;1.0
w.16;m.681;1;1.0
w.16;m.495;1;1.0
w.17;m.681;1;1.0
w.18;m.681;1;1.0
w.19;m.681;1;1.0
w.19;m.495;1;1.0
w.20;m.681;1;1.0
w.21;m.681;1;1.0
w.21;m.1001;1;1.0
w.21;m.682;1;1.0
w.21;m.1025;1;1.0
w.22;m.681;1;1.0
w.23;m.681;1;1.0
w.24;m.681;1;1.0
w.25;m.681;1;1.0
w.26;m.681;1;1.0
w.27;m.1001;1;1.0
w.27;m.495;1;1.0
w.27;m.1025;1;1.0
w.27;m.682;1;1.0
w.28;m.681;1;1.0
w.29;m.681;1;1.0
w.30;m.681;1;1.0
w.30;m.495;1;1.0
w.30;m.635;1;1.0
w.31;m.681;1;1.0
w.32;m.681;1;1.0
w.32;m.641;1;1.0
w.33;m.681;1;1.0
w.33;m.641;1;1.0
w.34;m.681;1;1.0
w.35;m.681;1;1.0
w.36;m.1001;1;1.0
w.36;m.495;1;1.0
w.36;m.1025;1;1.0
w.36;m.681;1;1.0
w.37;m.681;1;1.0
w.38;m.681;1;1.0
w.38;m.1025;1;1.0
w.38;m.1001;1;1.0
w.39;m.1001;1;1.0
w.39;m.495;1;1.0
w.39;m.1025;1;1.0
w.39;m.681;1;1.0
w.40;m.1001;1;1.0
w.40;m.495;1;1.0
w.40;m.1025;1;1.0
w.40;m.681;1;1.0
w.41;m.1001;1;1.0
w.41;m.495;1;1.0
w.41;m.1025;1;1.0
w.41;m.681;1;1.0
w.42;m.681;1;1.0
w.42;m.495;1;1.0
w.42;m.449;1;1.0
w.43;m.681;1;1.0
w.43;m.449;1;1.0
w.43;m.635;1;1.0
w.44;m.1001;1;1.0
w.51;m.634;1;1.0
w.51;m.698;1;1.0
w.52;m.681;1;1.0
w.52;m.495;1;1.0
w.52;m.449;1;1.0
w.55;m.681;1;1.0
w.56;m.495;1;1.0
w.58;m.635;1;1.0
w.64;m.635;1;1.0
w.64;m.681;1;1.0
w.65;m.635;1;1.0
w.65;m.681;1;1.0
w.66;m.681;1;1.0
w.67;m.681;1;1.0
w.82;m.681;1;1.0
w.83;m.681;1;1.0
w.84;m.681;1;1.0
w.85;m.681;1;1.0
w.86;m.681;1;1.0
w.87;m.681;1;1.0
w.91;m.681;1;1.0
w.92;m.436;1;1.0
w.92;m.386;1;1.0
w.92;m.527;1;1.0
w.92;m.392;1;1.0
w.93;m.438;1;1.0
w.93;m.436;1;1.0
w.93;m.386;1;1.0
w.93;m.527;1;1.0
w.93;m.392;1;1.0
w.93;m.495;1;1.0
w.93;m.1039;1;1.0
w.93;m.664;1;1.0
w.93;m.1011;1;1.0
w.94;m.438;1;1.0
w.94;m.386;1;1.0
w.94;m.527;1;1.0
w.94;m.392;1;1.0
w.94;m.495;1;1.0
w.94;m.1039;1;1.0
w.94;m.664;1;1.0
w.94;m.1011;1;1.0
w.95;m.872;1;1.0
w.95;m.471;1;1.0
w.95;m.855;1;1.0
w.95;m.375;1;1.0
w.96;m.797;1;1.0
w.96;m.1039;1;1.0
w.96;m.629;1;1.0
w.96;m.471;1;1.0
w.96;m.846;1;1.0
w.96;m.375;1;1.0
w.96;m.777;1;1.0
w.96;m.1033;1;1.0
w.97;m.1039;1;1.0
w.97;m.777;1;1.0
w.97;m.1025;1;1.0
w.97;m.1033;1;1.0
w.98;m.902;1;1.0
w.98;m.386;1;1.0
w.98;m.527;1;1.0
w.98;m.392;1;1.0
w.99;m.1044;1;1.0
w.99;m.737;1;1.0
w.99;m.469;1;1.0
w.99;m.374;1;1.0
w.99;m.641;1;1.0
w.100;m.679;1;1.0
w.100;m.652;1;1.0
w.100;m.400;1;1.0
w.100;m.478;1;1.0
w.100;m.418;1;1.0
w.100;m.645;1;1.0
w.100;m.646;1;1.0
w.100;m.1042;1;1.0
w.100;m.546;1;1.0
w.100;m.677;1;1.0
w.100;m.470;1;1.0
w.100;m.374;1;1.0
w.100;m.641;1;1.0
w.101;m.734;1;1.0
